βλέπει τήν|(he/she) sees / is looking at…|VLEH-pee teen|ˈvlɛ.pi tin|Photorealistic close-up of a sun-weathered Greek shepherd in a dusty azure shirt, his sharp hazel eyes tracking something beyond frame, golden hour light grazing the crow’s-feet around his gaze, shallow depth of field, warm Aegean palette, 85 mm lens, f/1.4, high-resolution skin pores, subtle rim-light on lashes, cinematic bokeh of olive grove behind.|βλέπει_τήν_0001
ἐσθίει τήν|(he/she) eats / is eating…|es-THEE-ee teen|ɛsˈθi.i tin|Photorealistic macro of tanned fingertips tearing steamy village bread, crumbs catching late-afternoon side-light, glistening olive-oil drizzle frozen mid-drip, 100 mm macro, f/2.8, selective focus on glossy crust, rustic wooden table, background melt into bokeh terracotta and herbs, mouth-watering texture detail.|ἐσθίει_τήν_0002
ἡ ἀδελφή|the sister|ee ah-thel-FEE|i aðɛlˈfi|Photorealistic half-length portrait of a black-clad Greek woman on a whitewashed Cycladic doorstep, late-day sun carving gentle shadows across her serene face, wind-teased stray hairs lit to silver, 50 mm lens, f/1.8, soft creamy background of cobalt door and bougainvillea, film-like grain, lifelike skin tones.|ἡ_ἀδελφή_0003
ἡ ἐπιστολή|the letter (message)|ee eh-pee-stoh-LEE|i ɛ.pi.stoˈli|Photorealistic still-life of a creased handwritten letter beside brass oil-lamp on aged walnut desk, warm candlelight kissing ink strokes and wax seal, 35 mm lens, f/2, shallow focus, rich chiaroscuro, nostalgic sepia cast, visible paper fiber, cinematic shadows.|ἡ_ἐπιστολή_0004
ἡ κεφαλή|the head|ee keh-fah-LEE|i kɛ.faˈli|Photorealistic profile of an elderly Greek fisherman, silver stubble and sun-beaten skin, eyes closed in contemplation, early morning backlight haloing wild white hair, 135 mm lens, f/2, velvety blurred sea horizon, cool slate-blue palette, every wrinkle rendered.|ἡ_κεφαλή_0005
ἡ κώμη|the village|ee KOH-mee|i ˈko.mi|Photorealistic aerial sunrise over a white cubist mountain village, golden rays glinting on church dome and tiled roofs, low-lying mist in olive valleys, drone shot, 24 mm equivalent, crisp shadows, vibrant yet natural colors, high dynamic range, inviting warmth.|ἡ_κώμη_0006
ἡ ποίμνη|the flock (of sheep)|ee PEEM-nee|i ˈpi.mni|Photorealistic shepherd’s view: dusty path leading to grazing sheep under ancient olive trees, late afternoon side-light raising dust motes, 35 mm lens, f/4, earthy greens and browns, distant mountains soft in haze, tranquil pastoral mood, tack-sharp wool texture.|ἡ_ποίμνη_0007
ἡ σκηνή|the tent / dwelling|ee skee-NEE|i skiˈni|Photorealistic twilight campsite on Aegean cliff, canvas tent glowing from within, orange lantern light contrasting deep indigo sky, 24 mm lens, f/2.8, long exposure hint of star trail, inviting warmth against cool night air, sharp fabric weave detail.|ἡ_σκηνή_0008
κράζει|(he/she) cries out, shouts|KRAH-zee|ˈkra.zi|Photorealistic action shot of young fisherman mid-shout on weathered pier, mouth open, sea spray behind him frozen by high shutter, stormy sky, 70-200 mm at 1/2000 s, f/4, cool salty breeze implied, tense muscles, lifelike droplets.|κράζει_0009
νεύει|(he/she) nods, beckons|NEH-vee|ˈne.vi|Photorealistic tavern scene: wise old barkeeper in dim interior giving a subtle downward nod, warm tungsten light grazing silver mustache, shallow depth isolates gesture, 50 mm lens, f/1.4, rich browns and ambers, cinematic atmosphere, authentic skin texture.|νεύει_0010
ὁ ἄνθρωπος|the human being, man|AHN-thro-poss (stress on first syllable; “th” as in “thin”)|/ho ˈan.tʰrɔ.pos/|Photorealistic close-up of a weathered ancient Greek marble statue of a bearded man, shot at golden hour with warm side-lighting emphasizing every chisel mark and pore of the stone. The head fills the frame against a deep indigo sky; subtle lens flare and 85 mm f/1.4 bokeh isolate the serene, contemplative expression. Ultra-sharp 8 K texture, cinematic color grading, slight volumetric dust motes in the air, evoking timeless humanity.|ὁ_ἄνθρωπος_0011
ὁ ἄρτος|the bread, loaf|AR-toss (roll the “r” lightly; both o’s short)|/ho ˈar.tos/|Photorealistic macro of a crusty rustic sourdough loaf just out of a wood-fired oven, steam curling upward. Shot with a 50 mm prime at f/2.0, warm bakery interior lighting, golden browns and amber crust cracks catching the glow. Shallow depth of field, 8 K crumbs texture, cozy mood, faint flour dust suspended in backlight, evoking homely nourishment.|ὁ_ἄρτος_0012
ὁ θεός|God, god|theh-OSS (th as in “thin”; stress on last syllable)|/ho tʰeˈos/|Photorealistic night scene of a solitary bronze temple statue of Zeus illuminated by a single dramatic torch, orange flame reflecting on polished metal and dark marble columns. Shot with 35 mm, high contrast chiaroscuro, deep shadows, subtle smoke trails, star-filled sky above, conveying divine awe. Ultra-sharp 8 K, cinematic teal-and-orange grade.|ὁ_θεός_0013
ὁ ἵππος|the horse|EEP-poss (stress first syllable; “i” as in “machine”)|/ho ˈhip.pos/|Photorealistic action shot of a black stallion galloping along wet sand at sunrise, splashes frozen mid-air. Backlit golden sun creates rim light on muscular frame, 200 mm telephoto at f/4, 1/2000 s shutter. Vibrant blues and golds, shallow depth, sea spray sharpness, dynamic energy, heroic mood.|ὁ_ἵππος_0014
ὁ καρπός|the fruit / produce|kar-POSS (stress last syllable; roll “r” lightly)|/ho karˈpos/|Photorealistic macro of a sun-drenched olive branch heavy with glistening ripe fruit and translucent drops of water. Shot at f/3.2 with 100 mm macro, morning backlight revealing iridescent skin textures, rich greens and purples, shallow bokeh, dew sparkle, abundance and freshness, 8 K detail.|ὁ_καρπός_0015
ὁ νόμος|the law|NOH-moss (stress first syllable; both o’s short)|/ho ˈno.mos/|Photorealistic low-angle shot of a massive marble stele engraved with ancient Greek law text, standing in a deserted agora at noon. Hard sunlight casts sharp shadows into incised letters, 24 mm lens, deep blue sky, gritty texture, muted whites and grays, solemn authoritative mood, ultra-sharp 8 K.|ὁ_νόμος_0016
ὁ ὀφθαλμός|the eye|of-thal-MOSS (th as in “thin”; stress last syllable)|/ho of.tʰalˈmos/|Photorealistic extreme macro of a human iris with classic Greek bronze reflection, every ridge and capillary visible. Lit by soft ring light, jewel-like blues and golds, 5× magnification, f/5.6 for razor detail, black velvet background, mysterious introspective mood, 8 K clarity.|ὁ_ὀφθαλμός_0017
ὁ χριστός|the anointed one, Christ|khree-STOSS (kh as in “Bach”; stress last syllable)|/ho xrisˈtos/|Photorealistic serene close-up of a young man with flowing hair and subtle golden halo, wearing rough linen, warm candlelight on skin. Shot with 85 mm at f/2, creamy bokeh, earthy tones, gentle smile, sacred calm mood, film-like grain, 8 K skin pores, timeless compassion.|ὁ_χριστός_0018
τὸ βιβλίον|the book / scroll|bee-BLEE-on (stress last syllable; “i” as in “machine”)|/to biˈbli.on/|Photorealistic tabletop shot of an open papyrus scroll beside an ancient bronze inkwell on weathered wood, late-afternoon window light casting long shadows. 50 mm at f/2.8, warm parchment hues, visible fiber texture, shallow depth, quiet scholarly mood, 8 K detail, subtle dust motes.|τὸ_βιβλίον_0019
τὸ ἱμάτιον|the garment, cloak|hee-MA-tee-on (stress third syllable; “i” as in “machine”)|/to iˈma.ti.on/|Photorealistic hanging shot of a hand-woven undyed wool cloak on a rough wooden peg against white plaster wall, soft morning side-light revealing weave shadows. 35 mm at f/4, muted earth tones, crisp folds, minimalist serenity, 8 K thread detail, gentle airy mood.|τὸ_ἱμάτιον_0020
τὸ πετεινόν|the bird|toh peh-tee-NOHN (stress the last syllable, rhymes with “cone”)|to̞ petiˈno̞n|Photorealistic close-up of a small European songbird perched on a weathered olive branch at golden hour, soft bokeh background of blurred Mediterranean hills, delicate feathers catching warm amber light, intricate detail in every barb and barbule, shallow depth of field, 85 mm lens, f/2.8, subtle catchlight in alert black eye, gentle breeze suggested by slightly ruffled plumage, earthy color palette of ochre, sage, and dusty rose, serene atmosphere, ultra-sharp focus on beak and eye, cinematic rim-lighting halo.|τὸ_πετεινόν_0021
τὸ ποτήριον|the cup / drinking-vessel|toh poh-TEE-ree-ohn (stress the third syllable, “tee”)|to̞ po̞ˈtiri.o̞n|Photorealistic macro of a hand-blown glass kylix (ancient Greek drinking cup) on rough-hewn marble slab, late-afternoon side-light streaming through open window, liquid amber wine clinging to interior curve, tiny prismatic reflections dancing across translucent rim, visible tool marks on cup’s pedestal base, microscopic dust motes suspended in luminous beam, cool stone counterbalanced by warm liquid tones, 100 mm macro lens, f/4, crisp focus on rim fade to gentle blur at stem, muted palette of crystal, umber, and shadow, quiet still-life mood.|τὸ_ποτήριον_0022
τὸ τέκνον|the child|toh TEHK-nohn (stress the first syllable, “tehk”)|to̞ ˈte̞kno̞n|Photorealistic portrait of a 5-year-old child kneeling on sun-bleached wooden floor, side-lit by tall open shutter, flyaway hair glowing like fine-spun gold, curious hazel eyes reflecting window light, faint freckles and rosy cheeks, oversized linen shirt slipping off one shoulder, shallow depth 50 mm lens at f/1.8, creamy background fade, warm terracotta wall behind, soft shadows under delicate eyelashes, gentle neutral palette of ivory, oat, and muted rose, hushed domestic atmosphere, tack-sharp focus on iris, subtle skin texture.|τὸ_τέκνον_0023
τύπτει τήν|(he/she) strikes / hits…|TEEP-tee teen (stress first syllable of verb, “teep”)|ˈtipti tin|Photorealistic freeze-frame of a weathered adult hand mid-motion about to tap the surface of a brass handbell, studio strobe at 1/8000 s capturing micro-spray of dust particles, tense tendons and faint scars sharp under cool rim-light, dark moody background fading to deep slate, dramatic chiaroscuro, 200 mm telephoto at f/5.6, metallic sheen on bell contrasted by matte skin, palette of gunmetal, ochre, and shadow, palpable tension, hyper-real detail on ridges of knuckles, cinematic noir atmosphere.|τύπτει_τήν_0024
